,ecologie,economie,education,immigration,sante,securite_defense,date
1515,0,0,0,0,0,1,2022-01-19 21:20:55+00:00
1514,0,1,0,0,0,0,2022-01-19 21:21:54+00:00
1513,0,0,0,0,0,1,2022-01-19 21:23:14+00:00
1512,0,1,0,0,0,0,2022-01-19 21:25:14+00:00
1511,0,0,0,1,0,0,2022-01-19 21:27:21+00:00
1510,0,0,1,0,0,0,2022-01-19 21:27:51+00:00
1509,0,0,1,0,0,0,2022-01-19 21:30:32+00:00
1508,1,0,0,0,0,0,2022-01-19 21:42:22+00:00
1507,0,0,0,0,0,1,2022-01-19 21:53:03+00:00
1506,0,0,0,0,1,0,2022-01-20 11:20:01+00:00
1505,0,0,0,1,0,0,2022-01-20 15:20:24+00:00
1504,0,0,0,1,0,0,2022-01-21 10:31:40+00:00
1503,0,1,0,0,0,0,2022-01-21 10:53:02+00:00
1502,0,0,1,0,0,0,2022-01-21 10:53:22+00:00
1501,0,0,0,0,0,1,2022-01-21 11:45:09+00:00
1500,0,0,0,0,0,1,2022-01-21 14:23:17+00:00
1499,0,0,1,0,0,0,2022-01-21 18:07:35+00:00
1498,0,1,0,0,0,0,2022-01-21 18:19:31+00:00
1497,0,0,1,0,0,0,2022-01-21 18:21:49+00:00
1496,0,0,0,0,0,1,2022-01-21 18:23:51+00:00
1495,0,0,1,0,0,0,2022-01-21 18:27:09+00:00
1494,0,0,0,0,1,0,2022-01-21 18:34:23+00:00
1493,1,0,0,0,0,0,2022-01-21 18:41:39+00:00
1492,0,0,1,0,0,0,2022-01-21 18:44:09+00:00
1491,1,0,0,0,0,0,2022-01-21 18:47:58+00:00
1490,1,0,0,0,0,0,2022-01-21 18:53:37+00:00
1489,1,0,0,0,0,0,2022-01-21 18:54:53+00:00
1488,1,0,0,0,0,0,2022-01-21 18:56:14+00:00
1487,1,0,0,0,0,0,2022-01-21 18:58:20+00:00
1486,0,0,0,0,1,0,2022-01-21 19:02:43+00:00
1485,1,0,0,0,0,0,2022-01-21 19:03:44+00:00
1484,1,0,0,0,0,0,2022-01-21 19:10:43+00:00
1483,0,1,0,0,0,0,2022-01-21 19:19:46+00:00
1482,0,0,1,0,0,0,2022-01-21 19:23:29+00:00
1481,1,0,0,0,0,0,2022-01-21 19:25:41+00:00
1480,0,0,1,0,0,0,2022-01-21 19:37:02+00:00
1479,0,1,0,0,0,0,2022-01-21 19:39:10+00:00
1478,1,0,0,0,0,0,2022-01-21 19:39:30+00:00
1477,0,0,0,0,0,1,2022-01-21 19:42:41+00:00
1476,0,0,0,0,0,1,2022-01-21 19:48:24+00:00
1475,0,1,0,0,0,0,2022-01-21 19:49:51+00:00
1474,0,0,0,0,1,0,2022-01-21 19:52:28+00:00
1473,0,0,1,0,0,0,2022-01-21 19:59:55+00:00
1472,1,0,0,0,0,0,2022-01-21 20:04:05+00:00
1471,1,0,0,0,0,0,2022-01-21 20:09:46+00:00
