,ecologie,economie,education,immigration,sante,securite_defense,date
4426,0,0,1,0,0,0,2022-01-12 12:22:11+00:00
4425,0,0,0,0,1,0,2022-01-12 12:35:15+00:00
4424,0,1,0,0,0,0,2022-01-12 12:37:25+00:00
4423,0,0,1,0,0,0,2022-01-12 12:41:59+00:00
4422,0,0,1,0,0,0,2022-01-12 12:53:50+00:00
4421,0,0,1,0,0,0,2022-01-12 13:16:39+00:00
4420,0,0,0,1,0,0,2022-01-12 13:24:12+00:00
4419,0,0,0,1,0,0,2022-01-12 13:28:17+00:00
4418,0,0,1,0,0,0,2022-01-12 13:34:30+00:00
4417,0,0,1,0,0,0,2022-01-12 13:41:43+00:00
4416,0,1,0,0,0,0,2022-01-12 13:54:29+00:00
4415,0,0,1,0,0,0,2022-01-12 14:00:34+00:00
4414,1,0,0,0,0,0,2022-01-12 14:08:40+00:00
4413,0,1,0,0,0,0,2022-01-12 14:41:56+00:00
4412,0,0,1,0,0,0,2022-01-12 16:02:50+00:00
4411,0,0,1,0,0,0,2022-01-12 16:03:35+00:00
4410,0,0,1,0,0,0,2022-01-12 16:07:42+00:00
4409,0,0,1,0,0,0,2022-01-12 16:16:37+00:00
4408,1,0,0,0,0,0,2022-01-12 16:54:16+00:00
4407,1,0,0,0,0,0,2022-01-12 16:58:53+00:00
4406,0,0,0,0,0,1,2022-01-12 17:30:35+00:00
4405,0,0,0,0,0,1,2022-01-12 18:01:03+00:00
4404,0,0,0,1,0,0,2022-01-12 18:48:07+00:00
4403,0,0,0,0,0,1,2022-01-12 18:56:48+00:00
4402,1,0,0,0,0,0,2022-01-12 19:17:54+00:00
4401,1,0,0,0,0,0,2022-01-12 19:23:37+00:00
4400,0,1,0,0,0,0,2022-01-12 20:00:53+00:00
4399,1,0,0,0,0,0,2022-01-12 20:19:11+00:00
4398,0,1,0,0,0,0,2022-01-12 20:29:34+00:00
4397,0,0,1,0,0,0,2022-01-12 20:33:45+00:00
4396,0,1,0,0,0,0,2022-01-12 20:47:42+00:00
4395,0,1,0,0,0,0,2022-01-12 21:28:00+00:00
4394,0,1,0,0,0,0,2022-01-12 21:41:16+00:00
4393,0,1,0,0,0,0,2022-01-12 22:04:44+00:00
4392,0,0,0,0,0,1,2022-01-12 22:16:29+00:00
4391,1,0,0,0,0,0,2022-01-12 22:47:29+00:00
4390,0,0,0,0,0,1,2022-01-13 01:32:24+00:00
4389,0,0,0,0,0,1,2022-01-13 05:41:27+00:00
4388,0,1,0,0,0,0,2022-01-13 06:32:31+00:00
4387,0,0,1,0,0,0,2022-01-13 06:49:02+00:00
4386,0,0,0,0,0,1,2022-01-13 07:32:38+00:00
4385,0,0,0,0,0,1,2022-01-13 07:39:22+00:00
4384,0,0,1,0,0,0,2022-01-13 09:30:44+00:00
4383,0,1,0,0,0,0,2022-01-13 10:29:58+00:00
4382,0,0,1,0,0,0,2022-01-13 10:32:49+00:00
4381,1,0,0,0,0,0,2022-01-13 10:41:10+00:00
4380,1,0,0,0,0,0,2022-01-13 10:43:21+00:00
4379,0,0,0,0,0,1,2022-01-13 11:12:01+00:00
4378,0,0,0,0,1,0,2022-01-13 11:56:48+00:00
4377,1,0,0,0,0,0,2022-01-13 12:17:49+00:00
4376,1,0,0,0,0,0,2022-01-13 12:28:05+00:00
4375,0,0,0,0,0,1,2022-01-13 13:38:59+00:00
